"Data","Último","Abertura","Máxima","Mínima","Var%"
"30.07.2019","108,64","108,86","108,94","108,46","-0,19%"
"29.07.2019","108,86","108,64","108,90","108,43","0,20%"
"28.07.2019","108,64","108,68","108,71","108,60","-0,03%"
"26.07.2019","108,67","108,64","108,83","108,56","0,03%"
"25.07.2019","108,64","108,19","108,77","108,03","0,42%"
"24.07.2019","108,19","108,22","108,28","107,94","-0,03%"
"23.07.2019","108,22","107,84","108,30","107,83","0,32%"
"22.07.2019","107,88","107,80","108,08","107,70","0,05%"
"21.07.2019","107,82","107,69","107,83","107,69","0,10%"
"19.07.2019","107,72","107,30","107,97","107,22","0,39%"
"18.07.2019","107,30","107,94","108,02","107,20","-0,59%"
"17.07.2019","107,94","108,25","108,33","107,94","-0,28%"
"16.07.2019","108,24","107,92","108,39","107,83","0,30%"
"15.07.2019","107,92","107,88","108,11","107,80","0,08%"
"14.07.2019","107,83","107,88","107,97","107,79","-0,07%"
"12.07.2019","107,91","108,48","108,61","107,80","-0,54%"
"11.07.2019","108,50","108,47","108,53","107,86","0,03%"
"10.07.2019","108,47","108,84","108,98","108,33","-0,36%"
"09.07.2019","108,86","108,72","108,97","108,67","0,13%"
"08.07.2019","108,72","108,44","108,81","108,28","0,21%"
"07.07.2019","108,50","108,46","108,58","108,36","0,02%"
"05.07.2019","108,47","107,81","108,64","107,78","0,61%"
"04.07.2019","107,81","107,80","107,86","107,71","-0,02%"
"03.07.2019","107,83","107,89","107,93","107,53","-0,06%"
"02.07.2019","107,89","108,44","108,48","107,77","-0,51%"
"01.07.2019","108,44","108,11","108,55","108,11","0,05%"
"30.06.2019","108,39","107,92","108,50","107,92","0,46%"
"28.06.2019","107,89","107,80","107,94","107,56","0,08%"
"27.06.2019","107,80","107,80","108,17","107,64","0,02%"
"26.06.2019","107,78","107,19","107,86","107,09","0,55%"
"25.06.2019","107,19","107,31","107,42","106,78","-0,10%"
"24.06.2019","107,30","107,41","107,55","107,25","0,00%"
"23.06.2019","107,31","107,39","107,39","107,29","0,00%"
"21.06.2019","107,31","107,31","107,75","107,06","0,00%"
"20.06.2019","107,31","108,09","108,14","107,22","-0,74%"
"19.06.2019","108,11","108,45","108,62","107,91","-0,31%"
"18.06.2019","108,45","108,55","108,69","108,06","-0,10%"
"17.06.2019","108,56","108,44","108,72","108,41","-0,01%"
"16.06.2019","108,57","108,57","108,59","108,42","0,01%"
"14.06.2019","108,56","108,38","108,59","108,16","0,16%"
"13.06.2019","108,39","108,52","108,55","108,17","-0,10%"
"12.06.2019","108,50","108,52","108,58","108,22","-0,02%"
"11.06.2019","108,52","108,45","108,81","108,36","0,07%"
"10.06.2019","108,44","108,56","108,72","108,33","-0,01%"
"09.06.2019","108,46","108,21","108,68","108,21","0,24%"
"07.06.2019","108,19","108,42","108,62","107,89","-0,21%"
"06.06.2019","108,42","108,47","108,58","108,03","-0,05%"
"05.06.2019","108,47","108,14","108,50","107,81","0,31%"
"04.06.2019","108,14","108,08","108,36","107,83","0,06%"
"03.06.2019","108,08","108,38","108,45","107,89","-0,13%"
"02.06.2019","108,22","108,51","108,51","108,17","-0,05%"
"31.05.2019","108,28","109,62","109,64","108,28","-1,21%"
"30.05.2019","109,61","109,61","109,94","109,47","0,02%"
"29.05.2019","109,59","109,38","109,70","109,14","0,19%"
"28.05.2019","109,38","109,50","109,64","109,22","-0,13%"
"27.05.2019","109,52","109,31","109,59","109,28","0,11%"
"26.05.2019","109,40","109,28","109,43","109,28","0,09%"
"24.05.2019","109,31","109,61","109,75","109,28","-0,27%"
"23.05.2019","109,61","110,36","110,38","109,47","-0,68%"
"22.05.2019","110,36","110,48","110,64","110,25","-0,13%"
"21.05.2019","110,50","110,06","110,69","110,03","0,40%"
"20.05.2019","110,06","110,14","110,33","109,81","-0,10%"
"19.05.2019","110,17","109,86","110,24","109,86","0,08%"
"17.05.2019","110,08","109,86","110,19","109,50","0,20%"
"16.05.2019","109,86","109,61","109,97","109,33","0,25%"
"15.05.2019","109,59","109,61","109,72","109,16","-0,02%"
"14.05.2019","109,61","109,30","109,78","109,14","0,27%"
"13.05.2019","109,31","109,75","109,84","109,02","-0,31%"
"12.05.2019","109,64","109,79","109,86","109,64","-0,27%"
"10.05.2019","109,94","109,75","110,05","109,47","0,16%"
"09.05.2019","109,76","110,10","110,13","109,47","-0,32%"
"08.05.2019","110,11","110,25","110,31","109,89","-0,13%"
"07.05.2019","110,25","110,78","110,86","110,17","-0,48%"
"06.05.2019","110,78","110,62","110,99","110,28","0,13%"
